ID,Title,Excerpt,Permalink,URL Image,Title,Featured,Categorías de curso,Etiquetas de curso,_lp_duration,thim_course_skill_level,thim_course_language,thim_course_duration,_lp_free,_lp_price,_lp_level,_lp_external_link_buy_course,Author Username
5428,Digitaliza paso a paso tu negocio con herramientas de Google,"Si estás pensando en digitalizar tu pequeño negocio, este es el momento perfecto para dar los primeros pasos. En este curso básico y muy práctico conocerás el funcionamiento de herramientas como Perfil de Empresa (antiguo Google My Business), YouTube o Google Forms. Te acompañaremos paso a paso para que tu negocio sea visible en Internet y lograr que tus productos y servicios lleguen a más clientes.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/digitaliza-paso-a-paso-tu-negocio/,https://cursodex.com/wp-content/uploads/2022/10/Digitaliza-paso-a-paso-tu-negocio-con-herramientas-de-Google.png,Digitaliza paso a paso tu negocio con herramientas de Google,https://cursodex.com/wp-content/uploads/2022/10/Digitaliza-paso-a-paso-tu-negocio-con-herramientas-de-Google.png,Marketing,Español,90 minute,All level,Español,1.5 hours,yes,0,beginner,https://skillshop.exceedlms.com/student/collection/891093-get-business-online?locale=es,Google
18856,Protege tu Negocio: Ciberseguridad en el Teletrabajo,"¿Sabes qué pasos tienes que dar para implantar el teletrabajo de forma segura? Descubre a lo largo de este curso sin coste cómo adaptarte a esta modalidad de trabajo de forma eficiente, cumpliendo con las normativas tanto para el trabajador como para la empresa.

Te animamos además a que descubras el programa Activa Ciberseguridad. Un programa de Innovación en Ciberseguridad de la PYME impulsado por la Secretaría General de Industria y de la PYME (SGIPYME) del Ministerio de Industria, Comercio y Turismo y gestionado por EOI, cuyo objetivo es que las PYMES, ante el incesante aumento de los ataques de ciberseguridad, determinen su nivel de seguridad actual y establezcan el nivel que han de conseguir para proteger los sistemas y la información corporativos.

La próxima convocatoria se anunciará próximamente en la web Industria Conectada 4.0.

Si te interesa la ciberseguridad descubre aquí cinco formas de mejorar la ciberseguridad de tu empresa.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/protege-tu-negocio-ciberseguridad-en-el-teletrabajo/,https://cursodex.com/wp-content/uploads/2024/05/Protege-tu-Negocio-Ciberseguridad-en-el-Teletrabajo-e1715868969672.png,Protege tu Negocio Ciberseguridad en el Teletrabajo,https://cursodex.com/wp-content/uploads/2024/05/Protege-tu-Negocio-Ciberseguridad-en-el-Teletrabajo-e1715868969672.png,Computación y Software,Ciberseguridad|Español,2 hour,,Español,2 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/779906-cybersecurity-remote-work,Google
18860,Curso de Desarrollo de Apps Móviles,"Aprende las habilidades y conceptos básicos para crear aplicaciones para dispositivos móviles. Este curso te presenta los principios esenciales que deben inspirar la creación de estas aplicaciones, y así enfocar bien su diseño y programación desde el principio.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/curso-de-desarrollo-de-apps-moviles/,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-Desarrollo-de-Apps-Moviles-e1715726187183.png,Curso de Desarrollo de Apps Móviles,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-Desarrollo-de-Apps-Moviles-e1715726187183.png,Computación y Software,Aplicaciones Moviles|Español|Programación,40 hour,,Español,,,0,beginner,https://skillshop.exceedlms.com/student/collection/798207-apps,Google
18864,Cloud Computing,"¿Sabes qué beneficios aporta el uso de la tecnología Cloud Computing a un proyecto? Descubre a lo largo de este curso sin coste cómo transformar un negocio e innovar dentro de tu empresa a la vez que reduces sus costes. Además, aprende cómo tener acceso a tu información en cualquier dispositivo y de forma segura.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/cloud-computing/,https://cursodex.com/wp-content/uploads/2024/05/Cloud-Computing-e1715783108269.png,Cloud Computing,https://cursodex.com/wp-content/uploads/2024/05/Cloud-Computing-e1715783108269.png,Computación y Software,Español,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/786255-cloud-computing,Google
18868,Competencias digitales para profesionales,"Aprende las competencias digitales básicas que te ayudarán a adaptarte como profesional al entorno laboral actual. Para ello, conocerás las claves para mantener tu sistema operativo actualizado, técnicas para la resolución de problemas, algunos aspectos fundamentales de seguridad, normas para el correcto tratamiento de la información, herramientas para la creación de contenido y gestión de la comunicación y, por último, habilidades que facilitarán tu trabajo en este nuevo entorno digital.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/competencias-digitales-para-profesionales/,https://cursodex.com/wp-content/uploads/2024/05/Competencias-digitales-para-profesionales-e1715784546470.png,Competencias digitales para profesionales,https://cursodex.com/wp-content/uploads/2024/05/Competencias-digitales-para-profesionales-e1715784546470.png,Computación y Software|Habilidades Blandas,Desarrollo|Español,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/797196-digital-skills,Google
18871,Transformación digital para el empleo,"Descubre las principales áreas del sector digital presentes y futuras y los nuevos perfiles profesionales que están surgiendo. Adquiere las competencias profesionales necesarias, crea tu plan individual de transformación y prepárate para el futuro laboral.

Una vez finalizado este curso, descubre el programa Google Actívate Empleo vinculado a este MOOC junto a la EOI.

Si tienes entre 16 y 29 años y te apasiona el mundo digital.

Estás en situación de desempleo.

Resides en España.

Y completas este MOOC.

Podrás solicitar el acceso a un programa de empleo juvenil que incluye tutorías personalizadas que te harán más empleable en empresas que están buscando talento digital. Para ampliar la información y los requisitos de este programa, puedes consultar la web de EOI.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/transformacion-digital-para-el-empleo/,https://cursodex.com/wp-content/uploads/2024/05/Transformacion-digital-para-el-empleo-e1715784675483.png,Transformación digital para el empleo,https://cursodex.com/wp-content/uploads/2024/05/Transformacion-digital-para-el-empleo-e1715784675483.png,Habilidades Blandas,Español,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/780496-digital-transformation,Google
18874,Comercio electrónico,"Transforma un negocio tradicional en un negocio online o lanza al mundo de Internet tu propia idea. Descubre cómo comprar y vender productos y servicios en la red. Rompe fronteras con este curso sin coste y llega a nuevos clientes.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/comercio-electronico/,https://cursodex.com/wp-content/uploads/2024/05/Comercio-electronico-e1715784859939.png,Comercio electrónico,https://cursodex.com/wp-content/uploads/2024/05/Comercio-electronico-e1715784859939.png,Marketing,Español,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/787525-ecommerce,Google
18881,Productividad Personal,"Conoce las herramientas y procesos que te ayudarán a ser más productivo a la hora de buscar trabajo o desarrollar un proyecto. Aprenderás aspectos relacionados con la gestión del tiempo, marca personal, reputación online, generación de ideas, etc.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/productividad-personal/,https://cursodex.com/wp-content/uploads/2024/05/Productividad-Personal-e1715785589162.png,Productividad Personal,https://cursodex.com/wp-content/uploads/2024/05/Productividad-Personal-e1715785589162.png,Habilidades Blandas,Español|Productividad,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/779484-personal-productivity,Google
18884,Curso de introducción al desarrollo web: HTML y CSS (1/2),"Con este curso sin coste te introducirás en el diseño de páginas web de manera profesional. En la primera parte del curso aprenderás cómo nació la Web y cómo ha llegado a ser lo que es hoy. Serás capaz de crear páginas web correctas de manera profesional utilizando HTML5.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/curso-de-introduccion-al-desarrollo-web-html-y-css-1-2/,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-introduccion-al-desarrollo-web-HTML-y-CSS-1-2-e1715786838393.png,Curso de introducción al desarrollo web HTML y CSS 1-2,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-introduccion-al-desarrollo-web-HTML-y-CSS-1-2-e1715786838393.png,Computación y Software,Desarrollo Web|Español|Programación,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/799479-web-development-i,Google
18888,Curso de introducción al desarrollo web: HTML y CSS (2/2),"Con este curso sin coste continuarás introduciéndote en el diseño de páginas web. En la primera parte del curso aprendiste historia de la Web y te introdujiste al lenguaje HTML. En esta segunda parte, completarás tu formación con el lenguaje CSS para poder realizar webs completas de manera profesional.

Al finalizar este curso obtendrás una Insignia Digital que podrás añadir a tus perfiles públicos de Skillshop y LinkedIn para mostrar tus nuevas habilidades.",https://cursodex.com/courses/curso-de-introduccion-al-desarrollo-web-html-y-css-2-2/,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-introduccion-al-desarrollo-web-HTML-y-CSS-2-2-e1715803237634.png,Curso de introducción al desarrollo web HTML y CSS 2-2,https://cursodex.com/wp-content/uploads/2024/05/Curso-de-introduccion-al-desarrollo-web-HTML-y-CSS-2-2-e1715803237634.png,Computación y Software,Desarrollo Web|Español|Programación,40 hour,,Español,40 hours,,0,beginner,https://skillshop.exceedlms.com/student/collection/800472-web-development-ii,Google
